"UID","taxon","genus","species","type","year","latitude","longitude","locality","collector","issues"
"353749273","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,39.535419,-79.234455,"Bittinger Rd, Swanton, MD, US","Brady O'Brien","cdc,cdround"
"354227662","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.23703,-89.384695,"Illinois, US","abelkinser","cdc,cdround"
"354230028","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,35.756832,-83.207908,"Cosby Picnic Pavillion, Cosby, TN 37722, USA","Will Kuhn","cdc,cdround"
"354231681","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,37.384057,-89.238159,"Illinois, US","abelkinser","cdc,cdround"
"354393337","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,38.697113,-85.992218,"Scottsburg","baileymcintire","cdc,cdround"
"354616068","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,35.648792,-83.582336,"Sevier County, TN, USA","Janet Wright","cdc,cdround"
"354622961","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,35.663222,-83.521399,"Sevier County, Great Smoky Mountains National Park, US-TN, US","Brian Keener","cdc,cdround"
"354643761","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,35.082181,-83.620688,"Nantahala National Forest, Hayesville, NC, US","matblamac","cdc,cdround"
"354789957","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,35.679203,-83.530695,"Great Smoky Mountains, Gatlinburg, TN, US","Joey Shaw","cdc,cdround"
"354835307","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,35.922653,-82.176056,"Yancey, North Carolina, United States","Emily L. Stanley","cdc,cdround"
"355627258","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,39.190104,-76.894868,"Robinson Nature Center, Columbia, MD, US","pearleco","cdc,cdround"
"375352359","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,36.363114,-81.36347,"Jefferson, NC 28640, USA","Sommer","cdc,cdround"
"355852277","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.392578,-89.328342,"Illinois, US","Zach Skubiszewski","cdc,cdround"
"356285618","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,36.143302,-82.233451,"Unicoi, TN 37692, USA","minervamom","cdc,cdround"
"356451596","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,35.094405,-83.521934,"Nantahala National Forest, Franklin, NC, US","Margaret Woodbridge","cdc,cdround"
"356452907","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,35.094585,-83.521893,"Nantahala National Forest, Franklin, NC, US","Margaret Woodbridge","cdc,cdround"
"357337602","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,37.711066,-79.898736,"Botetourt County, VA, USA","forestseasons","cdc,cdround"
"357488419","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,37.320085,-89.326904,"Illinois, US","abelkinser","cdc,cdround"
"357547734","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,37.395517,-89.337278,"Illinois, US","abelkinser","cdc,cdround"
"358041023","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,35.679203,-83.530694,"Sevier County, TN, USA","Joey Shaw","cdc,cdround"
"358277582","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,37.633984,-79.553723,"Rockbridge County, VA, USA","forestseasons","cdc,cdround"
"362356623","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,35.70054,-94.031814,"Crawford County, AR, USA","Jennifer Ogle","cdc,cdround"
"368115812","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.821451,-83.757568,"Kentucky, US","Tyson Gregory","cdc,cdround"
"401405511","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.242372,-89.329622,"Illinois, US","Christopher David Benda","cdc,cdround"
"401407923","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.321127,-89.28189,"Illinois, US","Christopher David Benda","cdc,cdround"
"358214328","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,35.5015,-91.83442,"Cleburne County, AR, USA","boverser","cdc,cdround"
"358617864","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,36.424652,-80.306305,"Stokes County, US-NC, US","birdrangerbb","cdc,cdround"
"359081022","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,40.140666,-79.263097,"PA-381, Rector, PA, US","Mason Heberling","cdc,cdround"
"359090392","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,36.12112,-81.828476,"Grandfather Mountain State Park, Sugar Mountain, NC, US","amelia_gallina","cdc,cdround"
"359346528","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,39.558235,-76.993935,"Farm Museum Rd, Westminster, MD, US","conniey","cdc,cdround"
"359371337","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,40.140731,-79.263062,"PA-381, Rector, PA, US","Alyssa Landa","cdc,cdround"
"359514284","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,39.422879,-76.811669,"Owings Mills, MD 21117, USA","johncanoles","cdc,cdround"
"361886480","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.494119,-79.542036,"Buchanan, VA 24066, USA","bohowes","cdc,cdround"
"359966970","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,35.6559,-92.529725,"Clinton, AR, US","Matthew Friant","cdc"
"360503691","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,39.967102,-84.171085,"City Park, Tipp City, OH, US","Susanna Gehrt","cdc,cdround"
"360640838","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,35.007417,-85.367527,"Lookout Valley, Chattanooga, TN, USA","Nina Grauley","cdc,cdround"
"360799518","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,30.522347,-84.255225,"Maclay Gardens State Park, Tallahassee, FL, US","user_not__found","cdc,cdround"
"361020737","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,31.3787,-85.80503,"Enterprise, AL, US","kommissar","cdc"
"361264494","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,40.140781,-79.263047,"Westmoreland County, PA, USA","Bonnie Isaac","cdc,cdround"
"361328505","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,38.478529,-81.365751,"Clendenin, WV, US","Rodney Haynes","cdc,cdround"
"362044403","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,41.281159,-81.4446,"Ohio, US","Summit Metro Parks","cdc,cdround"
"362192057","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,39.877031,-79.615892,"Hopwood, PA 15445, USA","Claire Ciafré","cdc,cdround"
"362195028","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,36.580131,-83.690806,"Cumberland Gap National Historical Park, Claiborne County, US-TN, US","Alaina Krakowiak","cdc,cdround"
"362210432","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,39.919161,-79.606633,"Dunbar Township, PA, USA","Claire Ciafré","cdc,cdround"
"362366216","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,39.500201,-78.301711,"Cacapon Resort State Park, Berkeley Springs, WV, US","valchaney","cdc,cdround"
"375352773","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,34.780548,-93.849359,"Ouachita National Forest, Parks, AR, US","lstock81","cdc,cdround"
"362689519","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,36.194924,-81.87415,"Beech Mountain, NC, USA","Ezra Moorefield","cdc,cdround"
"362802629","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,40.40586,-81.185822,"Ohio, US","spidi","cdc,cdround"
"362808400","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,32.770353,-83.38748,"Myricks Mill Rd, Jeffersonville, GA, US","Brandon Fountain","cdc,cdround"
"362823602","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,42.718999,-80.557263,"Haldimand-Norfolk, CA-ON, CA","Carl-Adam Wegenschimmel","cdc,cdround"
"362853790","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,35.795608,-81.854697,"Morganton, NC 28655, USA","Billy Gottenstrater","cdc,cdround"
"362903891","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,39.628655,-79.126102,"Garrett County, MD, USA","Nate Hartley","cdc,cdround"
"363189304","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,36.298393,-83.83858,"Island F, Maynardville, TN, US","monicablack","cdc,cdround"
"363300743","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,35.932386,-80.159862,"North Carolina, US","Robby Deans","cdc,cdround"
"363528935","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,31.129296,-89.640767,"Mississippi, US","alli-gator","cdc,cdround"
"363596927","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,33.209347,-89.073222,"Louisville, MS 39339, USA","Brian Williams","cdc,cdround"
"363636758","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,37.390575,-80.507658,"Newport, VA 24128, USA","Abir Jain","cdc,cdround"
"363966070","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,34.995276,-84.640498,"Ocoee, TN 37361, USA","Siddarth Machado","cdc,cdround"
"363966074","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,34.995276,-84.640498,"Ocoee, TN 37361, USA","Siddarth Machado","cdc,cdround"
"363980987","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,41.302181,-73.972575,"Iona Island, Rockland County, New York, USA","Kristof Zyskowski","cdc,cdround"
"364039004","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,33.206843,-89.07444,"Louisville, MS 39339, USA","mjthorn01","cdc,cdround"
"364215032","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,40.593671,-78.112806,"Porter Township, PA, USA","Gary Delise","cdc,cdround"
"364316429","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,35.958117,-93.510179,"Madison County, US-AR, US","Cheryl Hall","cdc,cdround"
"364393183","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,39.425968,-79.446312,"United States","Josh Emm","cdc,cdround"
"364579041","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,41.493617,-81.593645,"N Park Blvd, Cleveland Heights, OH, US","Ana B. Locci","cdc,cdround"
"365102810","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,40.577997,-80.181697,"Bell Acres, PA 15143, USA","Dawn Wehman","cdc,cdround"
"365326233","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,41.387798,-81.693194,"Somia Dr, Parma, OH, US","ckwild","cdc,cdround"
"365349958","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,41.389266,-81.687335,"Parma, OH, US","ckwild","cdc,cdround"
"365727900","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,40.050987,-79.285484,"Somerset, PA, US","dimitsana","cdc,cdround"
"365768864","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,36.853424,-81.523293,"Smyth County, US-VA, US","brandonc31","cdc,cdround"
"365793905","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,40.74946,-77.84723,"Pine Grove Mills, PA, USA","Jonathan Berlin","cdc"
"365859161","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,32.916851,-86.268478,"Rockford","bonzierb","cdc,cdround"
"365884180","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,40.555217,-81.3646,"Boone Rd NE, Dover, OH, US","Timothy Frey","cdc,cdround"
"365890031","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,42.337498,-79.188429,"Charlotte, NY, USA","Priscilla Titus","cdc,cdround"
"366163916","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,34.602431,-84.623531,"East Ellijay, GA 30540, USA","northganaturalist","cdc,cdround"
"366249979","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,41.497958,-81.681986,"Downtown, Cleveland, OH, USA","Chuck Slusarczyk Jr.","cdc,cdround"
"366317437","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,37.976776,-80.387309,"Greenbrier County, US-WV, US","johnbotany","cdc,cdround"
"366318043","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,37.412406,-80.522325,"Newport, VA 24128, USA","Abir Jain","cdc,cdround"
"366327681","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,37.392283,-89.347795,"Illinois, US","Christopher David Benda","cdc,cdround"
"366336392","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,41.008295,-80.00264,"Brady Township, PA 16057, USA","Natalie","cdc,cdround"
"366651836","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,39.647552,-78.823222,"United States","Josh Emm","cdc,cdround"
"366662718","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,40.746058,-81.741477,"Woodbury Cir, Dalton, OH, US","Timothy Frey","cdc"
"366723124","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,33.71727,-83.276885,"Greene County, GA, USA","Siddarth Machado","cdc,cdround"
"367488710","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,41.381545,-81.466252,"Ohio, US","Summit Metro Parks","cdc,cdround"
"367637231","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,35.631195,-83.215683,"Great Smoky Mountains, Cherokee, NC, US","bog_badger","cdc,cdround"
"367677347","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,38.941937,-79.77703,"Mt Zion Run Rd, Elkins, WV, US","fawnsheadgrove","cdc,cdround"
"367722449","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,39.619557,-78.899214,"United States","Sharon Forsyth","cdc,cdround"
"367895617","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,36.817944,-81.399552,"George Washington & Jefferson National Forests, Marion, VA, US","mzpollynator","cdc,cdround"
"367905213","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,35.641337,-83.188295,"Great Smoky Mountains, Maggie Valley, NC, US","bog_badger","cdc,cdround"
"367992153","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,37.748447,-79.200937,"George Washington & Jefferson National Forests, Vesuvius, VA, US","Isaac Matlock","cdc,cdround"
"439779765","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,36.364895,-81.366357,"Jefferson, NC 28640, USA","Sommer","cdc,cdround"
"368266924","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,36.142139,-84.869456,"Deer Lodge, TN 37726, USA","naturegal64","cdc,cdround"
"368362432","Magnolia acuminata (L.) L.","Magnolia","acuminata","G",2023,40.076783,-88.23323,"Champaign, IL, US","Joel A","cdc,cdround"
"368392705","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,34.884983,-86.014686,"Stevenson, AL, US","Sequoia Janirella Wrens","cdc,cdround"
"368473839","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,43.34508,-76.686478,"Fair Haven Beach State Park, Sterling, NY, US","Albert E. Fulton, Ph.D.","cdc,cdround"
"368498832","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,40.563475,-78.256452,"Pennsylvania, US","Brian Daggs","cdc,cdround"
"368518759","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.287065,-89.306795,"Illinois, US","Christopher David Benda","cdc,cdround"
"368689565","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,33.376339,-86.852417,"Hoover, AL 35226, USA","wenj","cdc,cdround"
"368758270","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,34.609002,-84.637232,"East Ellijay, GA 30540, USA","northganaturalist","cdc,cdround"
"368880477","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,36.166511,-93.283607,"Arkansas, US","Matt Tomlinson","cdc,cdround"
"368912165","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,36.051904,-81.858026,"Avery, Blue Ridge Parkway, North Carolina, United States","Jax","cdc,cdround"
"369166198","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,41.592074,-80.356729,"Crawford County, US-PA, US","Castilleja Fallon Olmsted","cdc,cdround"
"369621512","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,38.874929,-77.134855,"Wilson Blvd & Manchester St, Arlington, VA 22205, USA","ralt","cdc"
"369695639","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,30.808597,-92.283947,"St Landry, LA 71367, USA","annieliveoak","cdc,cdround"
"376204231","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,34.882545,-86.009102,"Jackson County, AL, USA","Sequoia Janirella Wrens","cdc"
"385178529","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,34.88451,-86.01458,"Jackson County, AL, USA","Sequoia Janirella Wrens","cdc"
"370392951","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,34.88467,-86.016327,"Jackson County, AL, USA","Sequoia Janirella Wrens","cdc"
"371548027","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,34.891238,-86.173583,"Estillfork, AL, US","Jared Shorma","cdc,cdround"
"371904585","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,34.737769,-83.931146,"Union County, GA, USA","Jared Gorrell","cdc,cdround"
"375261767","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,34.737603,-83.931183,"Appalachian Trail, Blairsville, GA, US","Liszák Kristály","cdc,cdround"
"375601376","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,32.982096,-87.417946,"Talladega National Forest, Brent, AL, US","ssutto","cdc,cdround"
"383949470","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,39.582586,-78.10263,"Cherry Run, WV 25427, USA","marlenepd","cdc,cdround"
"400709579","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,34.686902,-94.375414,"Polk County, AR, USA","Jeremy Collison","cdc,cdround"
NA,"Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,37.378019,-80.525926,NA,"Margaret Cumberland (ORCID 0000-0003-1944-3584)","cdc,ambinst"
"370243311","Magnolia acuminata (L.) L.","Magnolia","acuminata","H",2023,41.349518,-80.803017,"Bristolville","watchtheclockray","cdc,cdround"
